2023-01-19 17:48:37.321268: finish training task15, epoch:10
2023-01-19 18:22:27.055298: finish training task15, epoch:11
2023-01-19 18:55:59.538327: finish training task15, epoch:12
2023-01-19 19:29:15.604542: finish training task15, epoch:13
2023-01-19 20:02:25.587765: finish training task15, epoch:14
2023-01-19 20:35:40.641605: finish training task15, epoch:15
2023-01-19 21:06:58.773512: finish training task15, epoch:16
2023-01-19 21:37:51.455530: finish training task15, epoch:17
2023-01-19 22:06:49.462723: finish training task15, epoch:18
2023-01-19 22:32:10.504109: finish training task15, epoch:19
2023-01-19 23:03:28.643014: finish training task15, epoch:20
2023-01-19 23:34:51.369910: finish training task15, epoch:21
2023-01-20 00:04:04.747589: finish training task15, epoch:22
2023-01-20 00:33:55.504816: finish training task15, epoch:23
2023-01-20 01:03:25.063232: finish training task15, epoch:24
2023-01-20 01:50:07.425906: finish training task16, epoch:1
2023-01-20 02:01:10.501005: finish training task16, epoch:2
2023-01-20 02:12:41.183340: finish training task16, epoch:3
2023-01-20 02:24:16.268466: finish training task16, epoch:4
2023-01-20 02:36:12.778669: finish training task16, epoch:5
2023-01-20 02:48:06.792914: finish training task16, epoch:6
2023-01-20 03:00:01.063076: finish training task16, epoch:7
2023-01-20 03:12:10.683103: finish training task16, epoch:8
2023-01-20 03:24:27.492690: finish training task16, epoch:9
2023-01-20 04:19:32.512240: finish training task17, epoch:1
2023-01-20 04:55:13.913164: finish training task17, epoch:2
2023-01-20 05:29:59.558770: finish training task17, epoch:3
2023-01-20 06:05:08.815924: finish training task17, epoch:4
2023-01-20 06:40:24.489530: finish training task17, epoch:5
2023-01-20 07:13:57.306982: finish training task17, epoch:6
2023-01-20 07:47:44.271125: finish training task17, epoch:7
2023-01-20 08:22:46.862724: finish training task17, epoch:8
2023-01-20 08:58:38.603812: finish training task17, epoch:9
2023-01-20 09:33:31.146640: finish training task17, epoch:10
2023-01-20 10:10:51.429522: finish training task18, epoch:1
2023-01-20 10:13:22.084798: finish training task18, epoch:2
2023-01-20 10:15:56.371117: finish training task18, epoch:3
2023-01-20 10:18:45.631041: finish training task18, epoch:4
2023-01-20 10:21:07.996721: finish training task18, epoch:5
2023-01-20 10:23:35.880192: finish training task18, epoch:6
2023-01-20 10:25:52.553657: finish training task18, epoch:7
2023-01-20 10:28:43.943146: finish training task18, epoch:8
2023-01-20 10:31:14.165203: finish training task18, epoch:9
2023-01-20 10:34:05.322261: finish training task18, epoch:10
2023-01-20 10:36:28.013316: finish training task18, epoch:11
2023-01-20 10:38:37.358768: finish training task18, epoch:12
2023-01-20 10:40:47.818690: finish training task18, epoch:13
2023-01-20 10:42:49.186256: finish training task18, epoch:14
2023-01-20 10:45:07.554999: finish training task18, epoch:15
2023-01-20 10:47:41.745029: finish training task18, epoch:16
2023-01-20 11:10:28.034891: finish training task19, epoch:1
2023-01-20 11:27:18.476653: finish training task19, epoch:2
2023-01-20 11:43:18.630960: finish training task19, epoch:3
2023-01-20 11:57:50.894913: finish training task19, epoch:4
2023-01-20 12:11:27.890231: finish training task19, epoch:5
2023-01-20 12:25:56.493741: finish training task19, epoch:6
2023-01-20 12:40:28.275927: finish training task19, epoch:7
2023-01-20 12:54:05.045978: finish training task19, epoch:8
2023-01-20 13:05:27.987188: finish training task19, epoch:9
2023-01-20 13:17:59.549396: finish training task19, epoch:10
2023-01-20 13:29:34.697504: finish training task19, epoch:11
2023-01-20 13:41:04.054900: finish training task19, epoch:12
2023-01-20 13:51:07.331988: finish training task19, epoch:13
2023-01-20 14:02:11.174855: finish training task19, epoch:14
2023-01-20 14:13:34.022600: finish training task19, epoch:15
2023-01-20 14:23:09.725725: finish training task19, epoch:16
2023-01-20 14:48:03.996536: finish training task20, epoch:1
2023-01-20 14:58:31.631508: finish training task20, epoch:2
2023-01-20 15:09:02.633369: finish training task20, epoch:3
2023-01-20 15:20:44.496172: finish training task20, epoch:4
2023-01-20 15:32:50.572203: finish training task20, epoch:5
2023-01-20 15:45:54.622008: finish training task20, epoch:6
2023-01-20 16:00:21.511761: finish training task20, epoch:7
2023-01-20 16:14:45.826932: finish training task20, epoch:8
2023-01-20 16:29:32.363366: finish training task20, epoch:9
2023-01-20 16:47:05.568519: finish training task21, epoch:1
2023-01-20 16:48:23.771799: finish training task21, epoch:2
2023-01-20 16:49:22.159441: finish training task21, epoch:3
2023-01-20 16:50:05.381202: finish training task21, epoch:4
2023-01-20 16:50:42.673162: finish training task21, epoch:5
2023-01-20 16:51:22.049169: finish training task21, epoch:6
2023-01-20 16:51:59.455116: finish training task21, epoch:7
2023-01-20 16:52:36.721129: finish training task21, epoch:8
2023-01-20 16:53:14.145738: finish training task21, epoch:9
2023-01-20 16:53:51.447845: finish training task21, epoch:10
2023-01-20 16:54:28.855851: finish training task21, epoch:11
2023-01-20 16:55:06.234850: finish training task21, epoch:12
2023-01-20 16:55:43.474869: finish training task21, epoch:13
2023-01-20 16:56:21.583972: finish training task21, epoch:14
2023-01-20 16:58:45.327755: finish training task22, epoch:1
2023-01-20 17:00:05.737134: finish training task22, epoch:2
2023-01-20 17:01:03.594807: finish training task22, epoch:3
2023-01-20 17:01:56.347272: finish training task22, epoch:4
2023-01-20 17:02:51.105357: finish training task22, epoch:5
2023-01-20 17:03:32.174794: finish training task22, epoch:6
2023-01-20 17:04:10.004993: finish training task22, epoch:7
2023-01-20 17:04:47.624091: finish training task22, epoch:8
2023-01-20 17:05:25.081866: finish training task22, epoch:9
2023-01-20 17:06:02.854659: finish training task22, epoch:10
2023-01-20 17:06:40.318504: finish training task22, epoch:11
2023-01-20 17:07:17.780793: finish training task22, epoch:12
2023-01-20 17:07:55.226457: finish training task22, epoch:13
2023-01-20 17:08:32.734111: finish training task22, epoch:14
2023-01-20 17:09:11.873770: finish training task22, epoch:15
2023-01-20 17:09:49.532197: finish training task22, epoch:16
2023-01-20 17:11:48.731978: finish training task23, epoch:1
2023-01-20 17:12:34.989368: finish training task23, epoch:2
2023-01-20 17:13:17.162686: finish training task23, epoch:3
2023-01-20 17:13:55.341960: finish training task23, epoch:4
2023-01-20 17:14:31.250202: finish training task23, epoch:5
2023-01-20 17:15:06.926964: finish training task23, epoch:6
2023-01-20 17:15:41.332858: finish training task23, epoch:7
2023-01-20 17:16:15.899170: finish training task23, epoch:8
2023-01-20 17:16:50.302340: finish training task23, epoch:9
2023-01-20 17:17:24.950049: finish training task23, epoch:10
2023-01-20 17:17:59.297853: finish training task23, epoch:11
2023-01-20 17:18:33.926671: finish training task23, epoch:12
2023-01-20 17:51:56.973555: finish training task24, epoch:1
2023-01-20 18:20:10.240248: finish training task24, epoch:2
2023-01-20 18:50:25.764514: finish training task24, epoch:3
2023-01-20 19:17:12.119165: finish training task24, epoch:4
2023-01-20 19:42:22.843085: finish training task24, epoch:5
2023-01-20 20:08:22.308484: finish training task24, epoch:6
2023-01-20 20:38:56.085889: finish training task24, epoch:7
2023-01-20 21:04:13.311360: finish training task24, epoch:8
2023-01-20 21:41:57.240144: finish training task25, epoch:1
2023-01-20 21:48:15.922204: finish training task25, epoch:2
2023-01-20 21:56:03.462981: finish training task25, epoch:3
2023-01-20 22:04:10.416710: finish training task25, epoch:4
2023-01-20 22:12:04.920770: finish training task25, epoch:5
2023-01-20 22:20:45.364097: finish training task25, epoch:6
2023-01-20 22:29:21.522658: finish training task25, epoch:7
2023-01-20 22:37:46.419356: finish training task25, epoch:8
2023-01-20 22:45:52.185421: finish training task25, epoch:9
2023-01-20 22:54:03.284935: finish training task25, epoch:10
2023-01-20 23:02:34.868531: finish training task25, epoch:11
2023-01-20 23:10:19.370177: finish training task25, epoch:12
2023-01-20 23:17:38.637951: finish training task25, epoch:13
2023-01-20 23:25:39.334488: finish training task25, epoch:14
2023-01-20 23:33:35.103688: finish training task25, epoch:15
2023-01-21 00:04:16.545094: finish training task26, epoch:1
2023-01-21 00:22:49.325099: finish training task26, epoch:2
2023-01-21 00:41:42.879364: finish training task26, epoch:3
2023-01-21 00:58:46.030236: finish training task26, epoch:4
2023-01-21 01:16:40.944776: finish training task26, epoch:5
2023-01-21 01:34:24.200698: finish training task26, epoch:6
2023-01-21 01:55:28.234363: finish training task26, epoch:7
2023-01-21 02:17:21.647677: finish training task26, epoch:8
2023-01-21 02:39:01.394134: finish training task26, epoch:9
2023-01-21 04:44:41.526751: finish training task27, epoch:1
2023-01-21 06:20:19.605839: finish training task27, epoch:2
2023-01-21 08:06:40.485509: finish training task27, epoch:3
2023-01-21 09:35:40.727312: finish training task27, epoch:4
2023-01-21 11:04:30.628616: finish training task27, epoch:5
2023-01-21 12:33:01.430200: finish training task27, epoch:6
2023-01-21 14:02:04.801502: finish training task27, epoch:7
2023-01-21 15:30:29.386929: finish training task27, epoch:8
2023-01-21 17:50:45.834468: finish training task28, epoch:1
2023-01-21 18:30:44.973570: finish training task28, epoch:2
2023-01-21 19:10:51.113759: finish training task28, epoch:3
2023-01-21 19:50:43.688087: finish training task28, epoch:4
2023-01-21 20:29:32.937466: finish training task28, epoch:5
2023-01-21 21:10:17.573890: finish training task28, epoch:6
